,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8017057569296375,0.6498422712933754,0.5508021390374331,0.5962373371924746,0.8381395240486407
Decision Tree,0.7242359630419332,0.4817708333333333,0.4946524064171123,0.48812664907651715,0.6507602072774898
Random Forest,0.7910447761194029,0.6351351351351351,0.5026737967914439,0.5611940298507463,0.8206019537094077
XGBoost,0.7647476901208244,0.5634218289085545,0.5106951871657754,0.5357643758765779,0.8107751681152967
Logistic Regression (Tuned),0.7974413646055437,0.6412698412698413,0.5401069518716578,0.5863570391872278,0.8369255737144811
